D001|P001|101|111|112|200423201902|
D001|P002|102|113|114|200423201903|
D001|P003|103|115|116|200423201905|
D002|P001|104|117|118|200423201906|
D002|P002|105|119|120|200423201908|
D002|P003|106|121|122|200423201909|
D003|P001|109|123|124|200423201931|
D003|P002|110|125|126|200423201932|
D003|P004|107|127|128|200423201914|
D003|P005|108|129|130|200423201926|
D001|P001|111|112|101|200423201916|
D001|P002|113|114|102|200423201917|
D002|P001|117|118|104|200423201922|
D002|P002|119|120|105|200423201923|
D003|P001|123|124|109|200423201927|
D003|P004|127|128|107|200423201930|
D001|P003|115|116|103|200423201937|
D002|P003|121|122|106|200423201940|
D003|P002|125|126|110|200423201933|
D003|P005|129|130|108|200423201945|
D003|P001|101|111|112|200423201918|

